name,day,month,biographical,yearbirth
2;Januar;Anne Francis;Anne Francis
2;Januar;Pete Postlethwaite;Pete Postlethwaite
3;Januar;Eva Strittmatter;Eva Strittmatter
4;Januar;Hadayatullah Hübsch;Hadayatullah Hübsch
4;Januar;Gerry Rafferty;Gerry Rafferty
5;Januar;Willi Arens;Wilhelm Friedrich Arens
7;Januar;Mick Werup;Mick Werup
8;Januar;Jiří Dienstbier (Politiker, 1937);Jiří Dienstbier
9;Januar;Peter Yates;Peter Yates
11;Januar;Imo Moszkowicz;Imo Moszkowicz
12;Januar;Didier Bonnet;Didier Bonnet
13;Januar;Hellmut Lange;Hellmut Lange
14;Januar;Stephanie Glaser;Stephanie Glaser
14;Januar;Siegfried Maruhn;Siegfried Maruhn
15;Januar;Pierre Louis-Dreyfus;Pierre Louis-Dreyfus
17;Januar;Marie-Thérèse Ibos;Marie-Thérèse Ibos
18;Januar;Sargent Shriver;Sargent Shriver
21;Januar;Charles Zwolsman senior;Charles Zwolsman senior
22;Januar;Pak Wanso;Pak Wanso
24;Januar;Bernd Eichinger;Bernd Eichinger
24;Januar;Peter-Paul Zahl;Peter-Paul Zahl
26;Januar;Günter Tembrock;Günter Tembrock
27;Januar;Alexander Stephan (Schauspieler);Alexander Stephan
27;Januar;Fritz Raff;Fritz Raff
30;Januar;Ajahn Maha Bua Nanasampanno;Ajahn Maha Bua Nanasampanno
30;Januar;John Barry (Filmkomponist);John Barry
3;Februar;Herbert Gadsch;Herbert Gadsch
3;Februar;Édouard Glissant;Édouard Glissant
3;Februar;Maria Schneider (Schauspielerin);Maria Schneider
6;Februar;Gary Moore;Gary Moore
12;Februar;Peter Alexander;Peter Alexander
13;Februar;Manuel Esperón;Manuel Esperón
15;Februar;Herbert Ammer;Herbert Ammer
16;Februar;Matti Aura (Politiker, 1943);Matti Ilmari Aura
18;Februar;Cayle Chernin;Cayle Chernin
19;Februar;Dietrich Stobbe;Dietrich Stobbe
20;Februar;Helmut Ringelmann;Helmut Ringelmann
25;Februar;Oswald Rathfelder;Oswald Rathfelder
25;Februar;Suze Rotolo;Suze Rotolo
27;Februar;Necmettin Erbakan;Necmettin Erbakan
28;Februar;Annie Girardot;Annie Girardot
28;Februar;Jane Russell;Jane Russell
6;März;Agnes-Marie Grisebach;Agnes-Marie Grisebach
10;März;Günter Gollasch;Günter Gollasch
10;März;Ralf Schüler;Ralf Schüler
12;März;Günter Amendt;Günter Amendt
12;März;Dietmar Mues;Dietmar Mues
13;März;Andreas Franz (Schriftsteller);Andreas Franz
14;März;Joachim Auth;Joachim Auth
15;März;Nate Dogg;Nate Dogg
18;März;Warren Christopher;Warren Christopher
18;März;Wolfgang Spier;Wolfgang Spier
19;März;Patrick Vincent Ahern;Patrick Vincent Ahern
19;März;Knut (Eisbär);Knut
19;März;Gustav Lantschner;Gustav Lantschner
20;März;Kurt Hauenstein;Kurt Hauenstein
21;März;Nikolai Jefimowitsch Andrianow;Nikolai Jefimowitsch Andrianow
23;März;José Argüelles;José Argüelles
23;März;Elizabeth Taylor;Elizabeth Taylor
25;März;Aldo Donati;Aldo Donati
29;März;Hans-Jürgen Ambrosius;Hans-Jürgen Ambrosius
30;März;Kurt Weidemann;Kurt Weidemann
4;April;John Adler;John H. Adler
4;April;Witta Pohl;Witta Pohl
4;April;Bronisław Kazimierz Przybylski;Bronisław Kazimierz Przybylski
5;April;Baruch Samuel Blumberg;Baruch Samuel Blumberg
8;April;Eva Afuhs;Eva Afuhs
9;April;Sidney Lumet;Sidney Lumet
11;April;La Esterella;La Esterella
11;April;Graciela Naranjo;Graciela Naranjo
14;April;William Lipscomb;William Lipscomb
19;April;Grete Waitz;Grete Waitz
20;April;Antonio Tauriello;Antonio Tauriello
21;April;Harold Garfinkel;Harold Garfinkel
22;April;Siegfried Voß;Siegfried Voß
24;April;Marie-France Pisier;Marie-France Pisier
27;April;Willem Albert Wagenaar;Willem Albert Wagenaar
30;April;Ernesto Sabato;Ernesto Sabato
1;Mai;Claude Bobrowski;Claude Bobrowski
1;Mai;Gene Gossage;Gene Gossage
2;Mai;Osama bin Laden;Osama bin Laden
5;Mai;Arthur Laurents;Arthur Laurents
7;Mai;Severiano Ballesteros;Severiano Ballesteros
7;Mai;Willard Boyle;Willard Boyle
7;Mai;Gunter Sachs;Gunter Sachs
13;Mai;Bernard Greenhouse;Bernard Greenhouse
19;Mai;Garret FitzGerald;Garret FitzGerald
20;Mai;Randy Savage;Randall Mario Poffo
23;Mai;Fritz Schediwy;Fritz Schediwy
25;Mai;Leonora Carrington;Leonora Carrington
27;Mai;Gil Scott-Heron;Gil Scott-Heron
28;Mai;Alys Robi;Alys Robi
28;Mai;Luigi Valenzano;Luigi Valenzano
30;Mai;Biagio Agnes;Biagio Agnes
31;Mai;Hans Keilson;Hans Keilson
31;Mai;Andy Robustelli;Andy Robustelli
31;Mai;Klaus Dieter Seybold;Klaus Dieter Seybold
2;Juni;Erika Streit;Erika Streit
3;Juni;James Arness;James Arness
3;Juni;John Henry Johnson;John Henry Johnson
3;Juni;Jack Kevorkian;Jack Kevorkian
3;Juni;José Rosinski;José Rosinski
4;Juni;Dimi Mint Abba;Dimi Mint Abba
4;Juni;Curth Flatow;Curth Flatow
7;Juni;Jorge Semprún;Jorge Semprún
10;Juni;Bernhard Heisig;Bernhard Heisig
12;Juni;René Audet;René Audet
12;Juni;John Hospers;John Hospers
14;Juni;Milivoj Ašner;Milivoj Ašner
14;Juni;Peter Schamoni;Peter Schamoni
18;Juni;Jelena Georgijewna Bonner;Jelena Bonner
18;Juni;Clarence Clemons;Clarence Clemons
23;Juni;Peter Falk;Peter Falk
23;Juni;Christiane Desroches-Noblecourt;Christiane Desroches-Noblecourt
25;Juni;Friedrich Adrario;Friedrich Adrario
30;Juni;Emil Petrovics;Emil Petrovics
30;Juni;Georg Sterzinsky;Georg Sterzinsky
4;Juli;Otto von Habsburg;Otto von Habsburg
5;Juli;Mika Myllylä;Mika Myllylä
5;Juli;Cy Twombly;Cy Twombly
8;Juli;Betty Ford;Betty Ford
8;Juli;Gordon Krunnfusz;Gordon Krunnfusz
10;Juli;Pierrette Alarie;Pierrette Alarie
11;Juli;Hans-Georg Arlt;Hans-Georg Arlt
13;Juli;Heinz Reincke;Heinz Reincke
14;Juli;Leo Kirch;Leo Kirch
15;Juli;Friedrich Wilhelm Schnitzler;Friedrich Wilhelm Schnitzler
17;Juli;Juan Arza;Juan Arza Íñigo
20;Juli;Lucian Freud;Lucian Freud
22;Juli;Tore Eikeland;Tore Eikeland
23;Juli;Amy Winehouse;Amy Winehouse
25;Juli;Michael Cacoyannis;Michael Cacoyannis
27;Juli;Ágota Kristóf;Ágota Kristóf
28;Juli;Bernd Clüver;Bernd Clüver
29;Juli;Nella Martinetti;Nella Martinetti
2;August;Baruj Benacerraf;Baruj Benacerraf
3;August;Louise Behrend;Louise Behrend
4;August;Hans Barth (Wissenschaftsautor);Hans Barth
9;August;Dietmar Sauermann;Dietmar Sauermann
9;August;Werner W. Wallroth;Werner W. Wallroth
11;August;Bob Zimny;Bob Zimny
14;August;Friedrich Schoenfelder;Friedrich Schoenfelder
16;August;Verena Wiet;Verena Wiet
18;August;Ronny (Schlagersänger);Ronny
19;August;Raúl Ruiz;Raúl Ruiz
22;August;Loriot;Loriot
22;August;Ashford & Simpson;Nickolas Ashford
24;August;Josy Doyon-Hofstetter;Josy Doyon-Hofstetter
31;August;Rosel Zech;Rosel Zech
31;August;Wade Belak;Wade Belak
2;September;Herbert Mataré;Herbert Mataré
3;September;Lara Andriessen;Lara Petra Andriessen
4;September;Lee Roy Selmon;Lee Roy Selmon
6;September;Hans Apel;Hans Apel
7;September;Pavol Demitra;Pavol Demitra
9;September;Hassan Aref;Hassan Aref
9;September;Valentin Braitenberg;Valentin Braitenberg
9;September;Horst Fuhrmann;Horst Fuhrmann
10;September;Cliff Robertson;Cliff Robertson
11;September;Karl-Eddi Armgort;Karl-Eddi Armgort
12;September;Alexander Saidgerejewitsch Galimow;Alexander Saidgerejewitsch Galimow
13;September;Arno Fischer (Fotograf);Arno Fischer
13;September;Helmut Frenz;Helmut Frenz
13;September;Richard Hamilton (Künstler);Richard Hamilton
18;September;Kurt Sanderling;Kurt Sanderling
19;September;Ctirad Kohoutek;Ctirad Kohoutek
21;September;Paulette Dubost;Paulette Dubost
24;September;Paul Mikat;Paul Mikat
25;September;Wangari Maathai;Wangari Maathai
28;September;Maple Batalia;Maple Batalia
28;September;Fernando Bernabé Agüero Rocha;Fernando Bernabé Agüero Rocha
29;September;Hella Haasse;Hella Haasse
29;September;Philip Hannan;Philip Hannan
30;September;Ralph M. Steinman;Ralph M. Steinman
2;Oktober;Peter Przygodda;Peter Przygodda
5;Oktober;Steve Jobs;Steve Jobs
10;Oktober;Ray Aghayan;Gorgen Ray Aghayan
11;Oktober;Jerachmi’el Assa;Jerachmi’el Assa
12;Oktober;Heinz Bennent;Heinz Bennent
12;Oktober;Dennis Ritchie;Dennis Ritchie
15;Oktober;Ueli Prager;Ueli Prager
16;Oktober;Dan Wheldon;Dan Wheldon
17;Oktober;Manfred Gerlach;Manfred Gerlach
18;Oktober;Friedrich Kittler;Friedrich Kittler
20;Oktober;Muammar al-Gaddafi;Muammar al-Gaddafi
22;Oktober;Edmundo Ros;Edmundo Ros
23;Oktober;John McCarthy;John McCarthy
23;Oktober;Marco Simoncelli;Marco Simoncelli
28;Oktober;Jiří Gruša;Jiří Gruša
31;Oktober;Flórián Albert;Flórián Albert
1;November;;Heinz Ludwig Arnold;Heinz Ludwig Arnold
4;November;Rudolf Meimberg;Rudolf Meimberg
6;November;Helmut Polensky;Helmut Polensky
7;November;Lykke Aresin;Lykke Aresin
7;November;Joe Frazier;Joe Frazier
7;November;Andrea True;Andrea True
9;November;Har Gobind Khorana;Har Gobind Khorana
14;November;Franz Josef Degenhardt;Franz Josef Degenhardt
14;November;Jackie Leven;Jackie Leven
19;November;Karl Aage Præst;Karl Aage Præst
20;November;Russell Garcia;Russell Garcia
20;November;Mario Martiradonna;Mario Martiradonna
22;November;Georg Kreisler;Georg Kreisler
22;November;Lynn Margulis;Lynn Margulis
